Feature_Name,Data_Type
SNo,float64
Name,object
Symbol,object
Date,datetime64[ns]
High,float64
Low,float64
Open,float64
Close,float64
Volume,object
Marketcap,float64
High.1,object
Low.1,object
Open.1,object
Close.1,object
Volume.1,object
High.2,object
Low.2,object
Open.2,object
Close.2,object
Volume.2,object
High.3,object
Low.3,object
Open.3,object
Close.3,object
Volume.3,object
High.4,object
Low.4,object
Open.4,object
Close.4,object
Volume.4,object
High.5,object
Low.5,object
Open.5,object
Close.5,object
Volume.5,object
High.6,object
Low.6,object
Open.6,object
Close.6,object
Volume.6,object
High.7,object
Low.7,object
Open.7,object
Close.7,object
Volume.7,object
High.8,object
Low.8,object
Open.8,object
Close.8,object
Volume.8,object
High.9,object
Low.9,object
Open.9,object
Close.9,object
Volume.9,object
High.10,object
Low.10,object
Open.10,object
Close.10,object
Volume.10,object
High.11,object
Low.11,object
Open.11,object
Close.11,object
Volume.11,object
High.12,object
Low.12,object
Open.12,object
Close.12,object
Volume.12,object
High.13,object
Low.13,object
Open.13,object
Close.13,object
Volume.13,object
High.14,object
Low.14,object
Open.14,object
Close.14,object
Volume.14,object
High.15,object
Low.15,object
Open.15,object
Close.15,object
Volume.15,object
High.16,object
Low.16,object
Open.16,object
Close.16,object
Volume.16,object
High.17,object
Low.17,object
Open.17,object
Close.17,object
Volume.17,object
High.18,object
Low.18,object
Open.18,object
Close.18,object
Volume.18,object
High.19,object
Low.19,object
Open.19,object
Close.19,object
Volume.19,object
High.20,object
Low.20,object
Open.20,object
Close.20,object
Volume.20,object
High.21,object
Low.21,object
Open.21,object
Close.21,object
Volume.21,object
High.22,object
Low.22,object
Open.22,object
Close.22,object
Volume.22,object
High.23,object
Low.23,object
Open.23,object
Close.23,object
Volume.23,object
High.24,object
Low.24,object
Open.24,object
Close.24,object
Volume.24,object
Price_Change,float64
Price_Change_Pct,float64
Daily_Range,float64
Volatility,float64
Avg_Price,float64
Typical_Price,float64
Body_Size,float64
Body_Size_Pct,float64
Upper_Shadow,float64
Lower_Shadow,float64
Is_Bullish,int64
SMA_7,float64
EMA_7,float64
Rolling_Std_7,float64
Volume_MA_7,float64
Rolling_Max_7,float64
Rolling_Min_7,float64
SMA_14,float64
EMA_14,float64
Rolling_Std_14,float64
Volume_MA_14,float64
Rolling_Max_14,float64
Rolling_Min_14,float64
SMA_21,float64
EMA_21,float64
Rolling_Std_21,float64
Volume_MA_21,float64
Rolling_Max_21,float64
Rolling_Min_21,float64
SMA_30,float64
EMA_30,float64
Rolling_Std_30,float64
Volume_MA_30,float64
Rolling_Max_30,float64
Rolling_Min_30,float64
Close_Lag_1,float64
Volume_Lag_1,object
Return_Lag_1,float64
Volatility_Lag_1,float64
Close_Lag_2,float64
Volume_Lag_2,object
Return_Lag_2,float64
Volatility_Lag_2,float64
Close_Lag_3,float64
Volume_Lag_3,object
Return_Lag_3,float64
Volatility_Lag_3,float64
Close_Lag_5,float64
Volume_Lag_5,object
Return_Lag_5,float64
Volatility_Lag_5,float64
Close_Lag_7,float64
Volume_Lag_7,object
Return_Lag_7,float64
Volatility_Lag_7,float64
Year,int32
Month,int32
Day,int32
DayOfWeek,int32
Quarter,int32
DayOfYear,int32
WeekOfYear,UInt32
Is_Weekend,int64
Is_Month_Start,int64
Is_Month_End,int64
Next_Day_Close,float64
Next_Day_Price_Change,float64
Next_Day_Price_Change_Pct,float64
Next_Day_Direction,int64
